"filename", "language", "PHP", "XML", "YAML", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pt-pt\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pt-pt\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\ru\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\ru\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\sk\adminlte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\sk\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\sk\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\sr\adminlte.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\sr\menu.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\tr\adminlte.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\tr\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\uk\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\uk\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\vi\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\vi\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\zh-CN\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\zh-CN\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 901, 0, 0, 1, 902
"c:\xampp\htdocs\sistema-venta\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\xampp\htdocs\sistema-venta\phpunit.xml", "XML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 1, 32
"c:\xampp\htdocs\sistema-venta\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\sistema-venta\public\vendor\adminlte\dist\css\adminlte.css", "CSS", 0, 0, 0, 43649, 0, 0, 0, 0, 0, 21, 9342, 53012
"c:\xampp\htdocs\sistema-venta\public\vendor\adminlte\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 12
"c:\xampp\htdocs\sistema-venta\public\vendor\adminlte\dist\js\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 58
"c:\xampp\htdocs\sistema-venta\public\vendor\adminlte\dist\js\adminlte.js", "JavaScript", 0, 0, 0, 0, 2191, 0, 0, 0, 0, 330, 549, 3070
"c:\xampp\htdocs\sistema-venta\public\vendor\adminlte\dist\js\adminlte.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\sistema-venta\public\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 4510, 0, 0, 0, 0, 1272, 1191, 6973
"c:\xampp\htdocs\sistema-venta\public\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\sistema-venta\public\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 3270, 0, 0, 0, 0, 222, 866, 4358
"c:\xampp\htdocs\sistema-venta\public\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\autofill\css\autoFill.bootstrap4.css", "CSS", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 6, 92
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\autofill\css\autoFill.bootstrap4.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\autofill\js\autoFill.bootstrap4.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 8, 43
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\autofill\js\autoFill.bootstrap4.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\autofill\js\dataTables.autoFill.js", "JavaScript", 0, 0, 0, 0, 717, 0, 0, 0, 0, 285, 211, 1213
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\autofill\js\dataTables.autoFill.min.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 14, 1, 47
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\css\buttons.bootstrap4.css", "CSS", 0, 0, 0, 410, 0, 0, 0, 0, 0, 0, 17, 427
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\css\buttons.bootstrap4.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.bootstrap4.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 6, 8, 88
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.bootstrap4.min.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.colVis.js", "JavaScript", 0, 0, 0, 0, 172, 0, 0, 0, 0, 25, 39, 236
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.colVis.min.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 1, 11
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.flash.js", "JavaScript", 0, 0, 0, 0, 1026, 0, 0, 0, 0, 199, 217, 1442
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.flash.min.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 1, 39
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.html5.js", "JavaScript", 0, 0, 0, 0, 1101, 0, 0, 0, 0, 153, 210, 1464
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.html5.min.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 1, 37
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.print.js", "JavaScript", 0, 0, 0, 0, 143, 0, 0, 0, 0, 32, 47, 222
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\buttons.print.min.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 1, 10
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\dataTables.buttons.js", "JavaScript", 0, 0, 0, 0, 1706, 0, 0, 0, 0, 380, 393, 2479
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\buttons\js\dataTables.buttons.min.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 1, 55
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\colreorder\css\colReorder.bootstrap4.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\colreorder\css\colReorder.bootstrap4.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\colreorder\js\colReorder.bootstrap4.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 6, 38
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\colreorder\js\colReorder.bootstrap4.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\colreorder\js\dataTables.colReorder.js", "JavaScript", 0, 0, 0, 0, 800, 0, 0, 0, 0, 468, 224, 1492
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\colreorder\js\dataTables.colReorder.min.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 1, 31
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedcolumns\css\fixedColumns.bootstrap4.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 12, 62
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedcolumns\css\fixedColumns.bootstrap4.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedcolumns\js\dataTables.fixedColumns.js", "JavaScript", 0, 0, 0, 0, 458, 0, 0, 0, 0, 96, 4, 558
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedcolumns\js\dataTables.fixedColumns.min.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 1, 20
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedcolumns\js\fixedColumns.bootstrap4.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 11, 3, 44
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedcolumns\js\fixedColumns.bootstrap4.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\sistema-venta\public\vendor\datatables-plugins\fixedheader\css\fixedHeader.bootstrap4.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
